IdValeSalida,IdProducto,PrecioCosto,Pventa,Cantidad,Saldo,idvalearea
144,9,80,200,1,,1
145,13,135,350,1,,6
146,16,100,200,1,,2
147,1,109,250,1,,1
148,16,100,200,1,,3
149,1,109,250,1,,2
150,1,109,250,1,,1
151,11,135,300,1,,1
152,17,580,900,1,,1
152,17,580,900,1,,1
153,16,100,200,1,,3
154,10,150,250,1,,2
155,1,109,250,1,,4
156,11,135,300,1,,1
157,16,100,200,1,,6
158,13,135,350,1,,4
159,11,135,300,1,,1
160,11,135,300,1,,3
161,8,80,300,1,,5
161,8,80,300,1,,5
162,8,80,300,1,,6
162,13,135,350,1,,6
163,1,109,250,1,,2
164,10,150,250,1,,5
165,16,100,200,1,,4
166,16,100,200,1,,5
167,8,80,300,1,,1
167,8,80,300,1,,1
168,16,100,200,1,,1
168,16,100,200,1,,1
169,16,100,200,1,,4
170,9,80,200,1,,6
171,16,100,200,1,,4
172,16,100,200,1,,6
173,16,100,200,1,,1
174,16,100,200,1,,2
175,16,100,200,1,,1
176,10,150,250,1,,3
177,10,150,250,1,,3
178,16,100,200,1,,2
179,16,100,200,1,,1
180,1,109,250,1,,6
181,16,100,200,1,,4
182,10,150,250,1,,6
183,1,109,250,1,,1
184,8,80,300,1,,2
185,8,80,300,1,,4
186,1,109,250,1,,3
187,16,100,200,1,,4
188,16,100,200,1,,4
189,16,100,200,1,,4
190,19,150,350,1,,1
191,16,100,200,1,,1
192,13,135,350,1,,2
192,13,135,350,1,,2
192,13,135,350,1,,2
192,13,135,350,1,,2
193,13,135,350,1,,4
194,1,109,250,1,,1
195,1,109,250,1,,3
196,16,100,200,1,,4
197,1,109,250,1,,1
198,16,100,200,1,,3
199,16,100,200,1,,1
200,1,109,250,1,,3
201,1,109,250,1,,3
202,16,100,200,1,,5
202,16,100,200,1,,5
203,16,100,200,1,,2
204,16,100,200,1,,1
205,16,100,200,1,,3
206,1,109,250,1,,1
207,16,100,200,1,,2
207,11,135,300,1,,2
208,19,150,350,1,,4
208,19,150,350,1,,4
209,16,100,200,1,,1
209,16,100,200,1,,1
210,8,80,300,1,,5
211,1,109,250,1,,3
212,16,100,200,1,,6
213,16,100,200,1,,4
214,16,100,200,1,,1
214,18,170,350,1,,1
215,16,100,200,1,,4
216,18,170,350,1,,5
217,1,109,250,1,,6
218,16,100,200,1,,3
218,1,109,250,1,,3
219,18,170,350,1,,1
220,16,100,200,2,,2
220,8,80,300,1,,2
221,17,580,900,1,,3
222,16,100,200,1,,2
223,16,100,200,1,,2
224,16,100,200,1,,5
225,16,100,200,1,,1
225,16,100,200,1,,1
226,16,100,250,1,,4
227,16,100,250,1,,3
228,16,100,250,1,,5
229,16,100,250,1,,3
230,16,100,250,1,,4
231,1,109,250,1,,1
232,18,170,400,1,,3
233,16,100,250,1,,1
234,21,140,350,1,,2
235,16,100,250,1,,1
236,16,100,250,1,,5
237,16,100,250,1,,4
238,1,200,400,1,,1
239,16,100,250,1,,1
239,16,100,250,1,,1
239,16,100,250,1,,1
240,4,183,450,1,,2
241,19,150,450,1,,1
242,18,170,400,1,,2
243,21,140,350,1,,4
244,16,100,250,1,,3
245,16,100,250,1,,4
246,16,100,250,1,,2
247,16,100,250,1,,1
248,16,100,250,1,,5
249,16,100,250,1,,3
250,16,100,250,1,,5
251,16,100,250,1,,1
252,11,135,400,1,,2
253,16,100,250,1,,6
254,8,80,300,1,,3
255,16,100,250,1,,4
255,8,80,300,1,,4
256,16,100,250,1,,4
257,16,100,250,1,,3
258,21,140,350,1,,5
259,1,200,400,1,,1
260,16,100,250,1,,1
260,16,100,250,1,,1
261,16,100,250,1,,1
262,16,100,250,1,,4
263,16,100,250,1,,2
264,8,80,300,1,,1
264,16,100,250,1,,1
264,8,80,300,1,,1
265,16,100,250,1,,3
266,8,80,300,1,,1
266,8,80,300,1,,1
267,16,100,0,1,,1
268,16,100,250,1,,1
454,16,100,250,1,,1
455,1,200,400,1,,1
456,26,200,450,1,,1
456,8,80,300,1,,1
456,26,200,450,1,,1
457,8,80,300,1,,1
457,8,80,300,1,,1
458,16,100,250,1,,1
459,1,200,400,1,,1
460,16,100,250,1,,1
460,4,183,450,1,,1
461,26,200,450,1,,1
462,1,200,400,1,,1
463,16,100,250,1,,1
464,1,200,400,1,,1
465,8,80,300,1,,1
465,8,80,300,1,,1
466,1,200,400,1,,1
467,8,80,300,1,,1
467,8,80,300,1,,1
468,26,200,450,1,,1
469,16,100,250,1,,1
470,16,100,250,1,,1
471,16,100,250,1,,4
472,16,100,250,1,,2
473,16,100,250,1,,1
474,1,200,400,1,,1
475,1,200,400,1,,1
476,16,100,250,1,,1
477,16,100,250,1,,1
478,1,200,400,1,,1
479,1,200,400,1,,1
480,13,135,0,1,,1
480,13,135,0,1,,1
480,13,135,0,1,,1
481,26,200,450,1,,1
481,1,200,400,1,,1
482,1,200,400,1,,1
483,8,80,300,1,,1
484,1,200,400,1,,1
485,1,200,400,1,,1
486,1,200,400,1,,1
487,16,100,250,1,,1
487,16,100,250,1,,1
488,8,80,300,1,,1
488,8,80,300,1,,1
489,1,200,400,1,,1
490,14,100,250,1,,1
490,8,80,300,1,,1
490,16,100,250,1,,1
491,16,100,250,1,,1
492,16,100,250,1,,1
493,16,100,250,1,,1
494,1,200,400,1,,1
495,16,100,250,1,,1
495,8,80,300,1,,1
496,16,100,250,1,,1
496,14,100,250,1,,1
497,16,100,250,1,,1
498,16,100,250,1,,1
499,1,200,400,1,,1
500,16,100,250,1,,1
501,1,200,400,1,,4
502,1,200,400,1,,1
503,8,80,300,1,,1
503,8,80,300,1,,1
504,16,100,250,1,,1
505,28,170,450,1,,1
505,28,170,450,1,,1
506,16,100,250,1,,2
507,16,100,250,1,,1
508,8,80,300,1,,1
509,16,100,250,1,,1
510,16,100,250,1,,1
510,16,100,250,1,,1
511,16,100,250,1,,1
512,8,80,300,1,,1
513,8,80,300,1,,1
514,16,100,250,1,,1
514,8,80,300,1,,1
515,16,100,250,1,,1
516,16,100,250,1,,1
517,16,100,250,1,,1
518,16,100,250,1,,1
519,4,183,450,1,,1
519,4,183,450,1,,1
520,10,150,400,1,,1
521,16,100,250,1,,1
522,1,200,400,1,,3
522,4,183,450,1,,3
523,8,80,300,1,,2
523,8,80,300,1,,2
524,10,150,400,1,,1
525,10,150,400,1,,3
526,1,200,400,1,,1
527,1,200,400,1,,1
528,8,80,300,1,,1
529,10,150,400,1,,1
531,16,100,250,1,,1
532,10,150,400,1,,1
532,8,80,300,1,,1
533,4,183,450,1,,1
534,10,150,400,1,,1
535,28,170,450,1,,1
536,10,150,400,1,,3
537,1,200,400,1,,1
538,1,200,400,1,,1
538,4,183,450,1,,1
539,16,100,250,1,,1
540,16,100,250,1,,1
541,16,100,250,1,,1
542,10,150,400,1,,1
543,16,100,250,1,,1
544,16,100,250,1,,1
545,1,200,400,1,,1
546,1,200,400,1,,1
547,4,183,450,1,,1
548,16,100,250,1,,1
549,16,100,250,1,,1
550,16,100,250,1,,1
551,10,150,400,1,,1
552,8,80,300,1,,1
553,10,150,400,1,,1
554,8,80,300,1,,1
555,8,80,300,1,,1
556,32,180,400,1,,1
557,10,150,400,1,,1
558,16,100,250,1,,1
559,32,180,400,1,,1
560,16,100,250,1,,1
561,16,100,250,1,,1
562,16,100,250,1,,1
562,16,100,250,1,,1
562,21,140,350,1,,1
563,16,100,250,1,,1
564,32,180,400,1,,1
565,32,180,400,1,,1
566,16,100,250,1,,1
567,16,100,250,1,,1
568,16,100,250,1,,1
569,16,100,250,1,,1
570,16,100,250,1,,1
571,8,80,300,1,,1
572,10,150,400,1,,1
573,16,100,250,1,,1
574,16,100,250,1,,1
575,16,100,250,1,,1
576,1,200,400,1,,1
577,16,100,250,1,,1
578,16,100,250,1,,2
579,1,200,400,1,,1
580,16,100,250,1,,1
581,8,80,300,1,,1
582,32,180,400,1,,1
583,32,180,400,1,,1
584,8,80,300,1,,1
585,32,180,400,1,,1
586,16,100,250,1,,2
587,16,100,250,1,,1
588,32,180,400,1,,1
589,16,100,250,1,,2
590,32,180,400,1,,1
591,16,100,250,1,,3
592,16,100,250,1,,4
593,16,100,250,1,,2
594,14,100,250,1,,4
595,10,150,400,1,,1
596,16,100,250,1,,1
597,16,100,250,1,,3
598,16,100,250,1,,2
599,16,100,250,1,,1
599,16,100,250,1,,1
599,16,100,250,1,,1
600,8,80,300,1,,2
600,8,80,300,1,,2
601,8,80,300,1,,1
602,16,100,250,1,,2
603,16,100,250,1,,1
604,16,100,250,1,,1
605,16,100,250,1,,5
606,5,182,500,1,,1
606,16,100,300,1,,1
607,16,100,300,1,,1
608,5,182,500,1,,1
609,5,182,500,1,,1
609,5,182,500,1,,1
610,8,80,400,1,,1
610,8,80,400,1,,1
611,8,80,400,1,,1
612,5,182,500,1,,1
614,16,100,300,1,,1
615,8,80,400,1,,1
616,16,100,300,1,,1
617,5,182,500,1,,1
618,16,100,300,1,,1
619,16,100,300,1,,1
620,8,80,400,1,,1
620,8,80,400,1,,1
621,4,183,500,1,,1
621,4,183,500,1,,1
622,16,100,300,1,,1
623,5,182,500,1,,1
624,5,182,500,1,,1
624,5,182,500,1,,1
625,5,182,500,1,,1
626,16,100,300,1,,1
627,5,182,500,1,,1
628,8,80,400,1,,1
629,16,100,300,1,,1
629,8,80,400,1,,1
629,8,80,400,1,,1
629,8,80,400,1,,1
630,16,100,300,1,,1
631,5,182,500,1,,1
632,5,182,500,1,,1
633,5,182,500,1,,1
634,16,100,300,1,,1
635,8,80,400,1,,1
635,8,80,400,1,,1
636,8,80,400,1,,1
637,5,182,500,1,,1
638,5,182,500,1,,1
639,1,200,450,1,,1
640,8,80,400,1,,1
641,1,200,450,1,,1
642,5,182,500,1,,2
643,5,182,500,1,,2
644,1,200,450,1,,1
645,16,100,300,1,,2
646,16,100,300,1,,1
646,1,200,450,1,,1
647,16,100,300,1,,1
649,4,183,500,1,,1
651,16,100,300,1,,1
651,4,183,500,1,,1
652,1,200,450,1,,1
653,16,100,300,1,,1
654,1,200,450,1,,1
655,1,200,450,1,,1
656,8,80,400,1,,1
657,16,100,300,1,,1
658,16,100,300,1,,1
659,16,100,300,1,,1
660,16,100,300,1,,1
660,14,100,300,1,,1
661,8,80,400,1,,1
662,16,100,300,1,,1
663,16,100,300,1,,1
663,16,100,300,1,,1
664,1,200,450,1,,1
665,8,80,400,1,,1
667,1,200,450,1,,1
667,16,100,300,1,,1
668,16,100,300,1,,1
669,16,100,300,1,,1
670,8,80,400,1,,1
671,1,200,450,1,,1
672,4,183,500,1,,1
673,1,200,450,1,,1
674,1,200,450,1,,1
675,16,100,300,1,,1
676,1,200,450,1,,1
677,8,80,400,1,,1
678,1,200,450,1,,1
679,1,200,450,1,,1
680,8,80,400,1,,1
680,8,80,400,1,,1
681,8,80,400,1,,1
682,16,100,300,1,,1
683,1,200,450,1,,1
684,16,100,300,1,,1
685,4,183,500,1,,1
685,4,183,500,1,,1
685,4,183,500,1,,1
686,1,200,450,1,,1
687,16,100,300,1,,1
688,1,200,450,1,,1
689,16,100,300,1,,1
690,8,80,400,1,,1
691,16,100,300,1,,1
692,4,183,500,1,,1
693,16,100,300,1,,1
694,8,80,400,1,,1
695,8,80,400,1,,1
696,8,80,400,1,,1
696,8,80,400,1,,1
697,16,100,350,1,,1
698,16,100,350,1,,1
699,16,100,350,1,,1
700,16,100,350,1,,1
701,8,80,400,1,,1
702,4,183,500,1,,1
702,4,183,500,1,,1
703,16,100,350,1,,1
704,36,350,500,1,,1
705,1,200,450,1,,1
706,16,100,350,1,,1
707,36,350,500,1,,1
708,37,350,500,1,,1
709,8,80,400,1,,1
710,16,100,350,1,,1
711,36,350,500,1,,1
712,4,183,500,1,,1
712,4,183,500,1,,1
713,16,100,350,1,,1
714,37,350,500,1,,1
715,1,200,500,1,,1
716,8,80,400,1,,1
717,16,100,350,1,,1
718,1,200,500,1,,1
719,8,80,400,1,,1
719,14,100,300,1,,1
719,4,183,500,1,,1
719,40,200,800,1,,1
719,40,200,800,1,,1
719,40,200,800,1,,1
719,40,200,800,1,,1
719,34,280,600,1,,1
719,34,280,600,1,,1
720,1,200,500,1,,6
721,16,100,0,1,,1
723,16,100,350,1,,1
724,36,350,500,1,,1
725,4,183,500,1,,1
