IdValeSalida,NoConsecutivo,Fecha,Destino,Inventariada,Nota,Exportada,Periodo,DiezPorciento,año
129,129,"06/30/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
130,130,"06/30/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
131,131,"06/30/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
132,132,"06/30/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
133,133,"06/30/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"6/2023",0,2023
134,134,"07/01/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
135,135,"07/01/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
136,136,"07/01/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
137,137,"07/04/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
138,138,"07/04/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
139,139,"07/04/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
140,140,"07/04/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
141,141,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
142,142,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
143,143,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
144,144,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
145,145,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
146,146,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
147,147,"07/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
148,148,"07/06/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
149,149,"07/07/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
150,150,"07/08/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
151,151,"07/08/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
152,152,"07/08/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
153,153,"07/11/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
154,154,"07/11/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
155,155,"07/11/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
156,156,"07/12/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
157,157,"07/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
158,158,"07/13/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
159,159,"07/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
160,160,"07/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
161,161,"07/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
162,162,"07/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
163,163,"07/14/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
164,164,"07/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
165,165,"07/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
166,166,"07/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
167,167,"07/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
168,168,"07/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
169,169,"07/15/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
170,170,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
171,171,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
172,172,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
173,173,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
174,174,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
175,175,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
176,176,"07/18/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
177,177,"07/19/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
178,178,"07/19/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
179,179,"07/19/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
180,180,"07/20/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
181,181,"07/21/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
182,182,"07/21/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
183,183,"07/22/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
184,184,"07/22/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
185,185,"07/22/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
186,186,"07/22/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
187,187,"07/25/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
188,188,"07/25/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
189,189,"07/25/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
190,190,"07/25/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
191,191,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
192,192,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
193,193,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
194,194,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
195,195,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
196,196,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
197,197,"07/26/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
198,198,"07/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
199,199,"07/27/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
200,200,"07/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
201,201,"07/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
202,202,"07/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
203,203,"07/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
204,204,"07/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
205,205,"07/28/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
206,206,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
207,207,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
208,208,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
209,209,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
210,210,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
211,211,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
212,212,"07/29/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"7/2023",0,2023
213,213,"08/01/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
214,214,"08/02/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
215,215,"08/02/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
216,216,"08/02/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
217,217,"08/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
218,218,"08/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
219,219,"08/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
220,220,"08/03/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
221,221,"08/04/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
222,222,"08/05/23 00:00:00",1,1,"Vale de salida del punto de venta, dependiente de turno --> Abdul",1,"8/2023",0,2023
