idbajaspor,idbajas,IdAlmacen,Fecha,idproducto,Cantidad,Pcosto,Pventa
229,2,2,"01/03/23 00:00:00",78,1,1350,1850
230,2,2,"01/03/23 00:00:00",83,4,1700,2000
231,2,1,"01/03/23 00:00:00",17,24,325,500
232,2,1,"01/03/23 00:00:00",13,48,135,190
233,2,1,"01/03/23 00:00:00",71,24,300,250
234,2,2,"01/04/23 00:00:00",77,2,125,200
235,2,2,"01/04/23 00:00:00",86,64,115,130
236,2,2,"01/04/23 00:00:00",8,1,70,120
237,2,2,"01/04/23 00:00:00",13,6,135,190
238,2,2,"01/04/23 00:00:00",72,1,200,250
239,2,2,"01/04/23 00:00:00",25,19,5,10
240,2,2,"01/04/23 00:00:00",13,7,135,190
241,2,2,"01/04/23 00:00:00",22,1,24,200
242,2,2,"01/05/23 00:00:00",73,1,400,800
243,2,2,"01/06/23 00:00:00",13,4,135,190
244,2,2,"01/06/23 00:00:00",77,1,125,200
245,2,2,"01/06/23 00:00:00",86,1,115,130
246,2,2,"01/06/23 00:00:00",18,1,400,700
247,2,1,"01/06/23 00:00:00",86,144,115,130
248,2,2,"01/06/23 00:00:00",3,1,45,80
249,2,2,"01/06/23 00:00:00",86,2,115,130
250,2,2,"01/06/23 00:00:00",25,10,5,10
251,2,2,"01/06/23 00:00:00",17,1,325,500
252,2,2,"01/06/23 00:00:00",13,2,135,190
253,2,2,"01/06/23 00:00:00",77,2,125,200
254,2,2,"01/07/23 00:00:00",71,15,300,250
255,2,2,"01/08/23 00:00:00",73,1,400,800
256,2,2,"01/08/23 00:00:00",83,19,1700,2000
257,2,2,"01/08/23 00:00:00",86,1,115,130
258,2,2,"01/08/23 00:00:00",72,1,200,250
259,2,2,"01/08/23 00:00:00",78,1,1350,1850
260,2,2,"01/08/23 00:00:00",86,8,115,130
261,2,2,"01/10/23 00:00:00",77,1,125,200
262,2,2,"01/10/23 00:00:00",77,1,125,200
263,2,2,"01/11/23 00:00:00",73,2,400,800
264,2,2,"01/11/23 00:00:00",18,2,400,700
265,2,2,"01/11/23 00:00:00",8,2,70,120
266,2,2,"01/12/23 00:00:00",77,1,125,200
267,2,2,"01/12/23 00:00:00",3,1,45,80
268,2,2,"01/12/23 00:00:00",3,1,45,80
269,2,2,"01/12/23 00:00:00",13,4,135,190
270,2,2,"01/12/23 00:00:00",71,1,300,250
271,2,2,"01/12/23 00:00:00",25,13,5,10
272,2,2,"01/13/23 00:00:00",86,2,115,130
273,2,2,"01/13/23 00:00:00",61,1,28,150
274,2,2,"01/13/23 00:00:00",25,6,5,10
275,2,2,"01/13/23 00:00:00",18,1,400,700
276,2,2,"01/15/23 00:00:00",8,12,70,120
277,2,2,"01/15/23 00:00:00",86,14,115,130
278,2,2,"01/15/23 00:00:00",86,1,115,130
279,2,2,"01/15/23 00:00:00",13,12,135,190
280,2,2,"01/15/23 00:00:00",13,16,135,190
281,2,2,"01/15/23 00:00:00",13,2,135,190
282,2,2,"01/15/23 00:00:00",14,2,210,250
283,2,2,"01/15/23 00:00:00",71,4,300,250
284,2,2,"01/15/23 00:00:00",72,1,200,250
285,2,2,"01/16/23 00:00:00",8,12,70,120
286,2,2,"01/17/23 00:00:00",3,1,45,80
287,2,2,"01/17/23 00:00:00",18,1,400,700
288,2,2,"01/17/23 00:00:00",72,1,200,250
289,2,2,"01/17/23 00:00:00",77,6,125,200
290,2,2,"01/17/23 00:00:00",14,6,210,250
291,2,2,"01/17/23 00:00:00",71,2,300,250
292,2,2,"01/17/23 00:00:00",13,11,135,190
293,2,2,"01/17/23 00:00:00",88,1,170,250
294,2,2,"01/17/23 00:00:00",71,2,300,250
295,2,2,"01/18/23 00:00:00",25,4,5,10
296,2,2,"01/18/23 00:00:00",71,1,300,250
297,2,2,"01/18/23 00:00:00",86,1,115,130
298,2,2,"01/18/23 00:00:00",22,1,24,200
299,2,2,"01/19/23 00:00:00",88,1,170,250
300,2,2,"01/19/23 00:00:00",25,3,5,10
301,2,2,"01/19/23 00:00:00",88,1,170,250
302,2,2,"01/20/23 00:00:00",14,1,210,250
303,2,2,"01/20/23 00:00:00",13,1,135,190
304,2,2,"01/21/23 00:00:00",77,1,125,200
305,2,2,"01/21/23 00:00:00",25,17,5,10
306,2,2,"01/21/23 00:00:00",88,1,170,250
307,2,2,"01/21/23 00:00:00",88,2,170,250
308,2,2,"01/22/23 00:00:00",14,1,210,250
309,2,2,"01/22/23 00:00:00",78,1,750,1500
310,2,2,"01/23/23 00:00:00",88,1,170,250
311,2,2,"01/23/23 00:00:00",86,1,115,130
312,2,2,"01/23/23 00:00:00",13,1,135,190
313,2,2,"01/23/23 00:00:00",77,1,125,200
314,2,2,"01/23/23 00:00:00",88,1,170,250
315,2,2,"01/24/23 00:00:00",14,1,210,250
316,2,1,"01/24/23 00:00:00",7,1,325,350
317,2,2,"01/25/23 00:00:00",77,1,125,200
318,2,2,"01/25/23 00:00:00",88,1,170,250
319,2,2,"01/25/23 00:00:00",86,3,115,130
320,2,2,"01/25/23 00:00:00",14,1,210,250
321,2,2,"01/25/23 00:00:00",71,2,300,250
322,2,2,"01/25/23 00:00:00",13,1,135,190
323,2,2,"01/25/23 00:00:00",90,1,125,180
324,2,2,"01/25/23 00:00:00",25,6,5,10
325,2,2,"01/25/23 00:00:00",77,1,125,200
326,2,2,"01/26/23 00:00:00",90,1,125,180
327,2,2,"01/26/23 00:00:00",25,17,5,10
328,2,2,"01/26/23 00:00:00",77,1,125,200
329,2,2,"01/27/23 00:00:00",13,1,135,190
330,2,2,"01/27/23 00:00:00",25,9,5,10
331,2,2,"01/27/23 00:00:00",90,3,125,180
332,2,2,"01/27/23 00:00:00",22,2,24,200
333,2,2,"01/27/23 00:00:00",72,1,200,250
334,2,2,"01/29/23 00:00:00",3,1,45,80
335,2,2,"01/29/23 00:00:00",13,2,135,190
336,2,2,"01/29/23 00:00:00",21,1,70,100
337,2,2,"01/29/23 00:00:00",88,1,170,250
338,2,2,"01/29/23 00:00:00",13,1,135,190
339,2,2,"01/29/23 00:00:00",90,1,125,180
340,2,2,"01/29/23 00:00:00",7,1,325,350
341,2,2,"01/29/23 00:00:00",25,7,5,10
342,2,2,"01/30/23 00:00:00",13,2,135,190
343,2,2,"01/30/23 00:00:00",14,2,210,250
344,2,2,"01/30/23 00:00:00",25,7,5,10
345,2,2,"01/30/23 00:00:00",65,1,28,150
346,2,2,"01/30/23 00:00:00",77,2,125,200
347,2,2,"01/30/23 00:00:00",88,2,170,250
348,2,2,"01/31/23 00:00:00",93,48,380,550
349,2,2,"01/31/23 00:00:00",25,2,5,10
350,2,2,"01/31/23 00:00:00",25,19,5,10
351,2,2,"01/31/23 00:00:00",86,2,115,130
352,2,2,"01/31/23 00:00:00",77,1,125,200
353,2,2,"02/01/23 00:00:00",14,2,210,250
354,2,2,"02/01/23 00:00:00",13,1,135,190
355,2,2,"02/01/23 00:00:00",90,1,125,180
356,2,2,"02/01/23 00:00:00",87,1,70,150
357,2,2,"02/02/23 00:00:00",77,1,125,200
